zone_name,district,variable,month,value
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,3,26.32970916725794
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,4,29.42979080212502
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,5,29.335580994882093
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,6,29.006447466343225
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,7,28.836902425948626
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,8,28.359159801189605
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,9,28.861878386734965
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,10,28.26876081286483
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,11,25.757597761740882
6. Hill Tract Zone (Elevated Terrain),Bandarban,temperature,12,22.081323072756568
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,1,75.05898038365416
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,2,69.41843473808316
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,3,68.02660295925583
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,4,74.06665503937518
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,5,79.05925632142885
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,6,85.51567934928042
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,7,85.59327603418453
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,8,87.94795293074225
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,9,85.56136586244341
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,10,82.394811673481
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,11,75.71049510904774
6. Hill Tract Zone (Elevated Terrain),Bandarban,humidity,12,74.71361169325549
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,1,18.68348699322292
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,2,22.57585791087049
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,3,28.82125487510858
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,4,37.383551590144435
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,5,38.04655781587988
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,6,39.83167417986568
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,7,38.11203709555167
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,8,36.858796117303626
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,9,37.252323820131004
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,10,34.05578913198576
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,11,25.14244883703467
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,heat_index,12,20.738803556531295
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,1,16.201021932696232
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,2,19.173987770627264
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,3,23.253542723107465
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,4,26.883997631088825
4. Coastal Humid Heat Zone (Coastal Belt),Barguna,wet_bulb,5,27.252757001932068
